name1,name2,name3,name4
P1706_C4_1_070_5_C,P1706_142,CCE_P1706_209,CCE_P1706_209_MSMS
P1706_C4_1_070_5_C2,P1706_142,CCE_P1706_210,CCE_P1706_210_MSMS
P1706_C4_1_050_4_C,P1706_143,CCE_P1706_211,CCE_P1706_211_MSMS
P1706_C4_1_050_4_C2,P1706_143,CCE_P1706_212,CCE_P1706_212_MSMS
P1706_C4_1_030_3_C,P1706_144,CCE_P1706_213,CCE_P1706_213_MSMS
P1706_C4_1_030_3_C2,P1706_144,CCE_P1706_214,CCE_P1706_214_MSMS
P1706_C4_1_020_2_C,P1706_145,CCE_P1706_215,CCE_P1706_215_MSMS
P1706_C4_1_020_2_C2,P1706_145,CCE_P1706_216,CCE_P1706_216_MSMS
P1706_C4_1_002_1_C,P1706_146,CCE_P1706_217,CCE_P1706_217_MSMS
P1706_C4_1_002_1_C2,P1706_146,CCE_P1706_218,CCE_P1706_218_MSMS
P1706_B5_5_055_3_C,P1706_147,CCE_P1706_255,CCE_P1706_255_MSMS
P1706_B5_5_055_3_C2,P1706_147,CCE_P1706_256,CCE_P1706_256_MSMS
P1706_B5_5_035_2_C,P1706_148,CCE_P1706_257,CCE_P1706_257_MSMS
P1706_B5_5_035_2_C2,P1706_148,CCE_P1706_258,CCE_P1706_258_MSMS
P1706_B5_5_010_1_C,P1706_149,CCE_P1706_259,CCE_P1706_259_MSMS
P1706_B5_5_010_1_C2,P1706_149,CCE_P1706_260,CCE_P1706_260_MSMS
P1706_B6_6_010_1_C,P1706_150,CCE_P1706_265,CCE_P1706_265_MSMS
P1706_B6_6_010_1_C2,P1706_150,CCE_P1706_266,CCE_P1706_266_MSMS
P1706_C4_2_090_6_C,P1706_151,CCE_P1706_219,CCE_P1706_219_MSMS
P1706_C4_2_090_6_C2,P1706_151,CCE_P1706_220,CCE_P1706_220_MSMS
P1706_C4_2_070_5_C,P1706_152,CCE_P1706_221,CCE_P1706_221_MSMS
P1706_C4_2_070_5_C2,P1706_152,CCE_P1706_222,CCE_P1706_222_MSMS
P1706_C4_2_050_4_C,P1706_153,CCE_P1706_223,CCE_P1706_223_MSMS
