rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
1745	C15H21NO6	[M + H]+	C15H21NO6	9.988789448655226	9.988789448655226	0.0	4	1.0	0.25362468873498417	1.3383657202126065	-1.6386385911268866		312.14365	212.10678460619738	1172_CCE1706_MZmine3_SIRIUS_1_6093
1746	C19H36O4	[M + H]+	C19H36O4	9.979100347747949	9.979100347747949	0.0	2	0.9650079127835414	-0.17571364588710547	0.17571364588710547	-1.2262361321992306		329.26823	587.4084181799669	4913_CCE1706_MZmine3_SIRIUS_1_34857
1747	C20H42O6	[M + Na]+	C20H42O6	9.978675353738003	3.491967807945035	6.486707545792968	1	0.0	0.10026706412024443	0.10026706412024443	0.17854028056890212		401.28743	619.2181582865305	5399_CCE1706_MZmine3_SIRIUS_1_37226
1748	C15H27N3O	[M + Na]+	C15H27N3O	9.966712957370762	9.966712957370762	0.0	2	1.0	-0.3401924546105226	0.3401924546105226	-2.518289243469052		288.20391	504.2492437362671	3891_CCE1706_MZmine3_SIRIUS_1_30437
1749	C23H48O7	[M + Na]+	C23H48O7	9.966226492887884	3.4781254616414383	6.488101031246446	1	0.0	-0.27121314655119494	0.27121314655119494	-0.3934680797295097		459.32904	637.4167495965958	5692_CCE1706_MZmine3_SIRIUS_1_38359
1750	C33H42O9	[M + H]+	C33H42O9	9.963173842955602	3.378292998126006	6.584880844829596	1	0.0	1.4411741472769466	1.4411741472769466	1.4879136170193092		583.29103	669.6604603528976	6138_CCE1706_MZmine3_SIRIUS_1_39820
1751	C21H33NO6	[M + H]+	C21H33NO6	9.956786465099285	6.09417345958467	3.8626130055146146	3	1.0	1.9113455437395666	1.9113455437395666	-45453.53397314606		396.23820	521.0284847133618	4093_CCE1706_MZmine3_SIRIUS_1_31337
1752	C16H22N4O3	[M + H]+	C16H22N4O3	9.949024873643188	9.949024873643188	0.0	2	0.7960426179604262	0.0921732805860311	0.0921732805860311	-1.3258779867268256		319.17604	127.58791305133855	441_CCE1706_MZmine3_SIRIUS_1_1565
1753	C17H22O7	[M + H]+	C17H22O7	9.947750193328826	9.947750193328826	0.0	3	1.0	0.6656969112497141	0.6656969112497141	-53105.092214627504		339.14411	282.49969590196565	1835_CCE1706_MZmine3_SIRIUS_1_12190
1754	C11H21N5O4	[M + Na]+	C11H21N5O4	9.938109163701982	7.113684311522589	2.8244248521793933	3	1.0	0.6947563409848412	1.6060095413796702	0.44430526053145153		310.14871	53.62211848754332	260_CCE1706_MZmine3_SIRIUS_1_1117
